NAME,PRICE
C18000,3001
C18125,2877
C18250,2752
C18375,2627
C18500,2502
C18625,2377
C18750,2252
C18875,2127
C19000,2002
C19125,1877
C19250,1752
C19375,1627
C19500,1503
C19625,1379
C19750,1256
C19875,1134
C20000,1014
C20125,897
C20250,783
C20375,675
C20500,573
C20625,478
C20750,392
C20875,315
C21000,248
P18000,0
P18125,0
P18250,0
P18375,0
P18500,0
P18625,0
P18750,0
P18875,0
P19000,0
P19125,0
P19250,0
P19375,0
P19500,1
P19625,2
P19750,4
P19875,7
P20000,12
P20125,20
P20250,31
P20375,48
P20500,71
P20625,101
P20750,139
P20875,188
P21000,246
