NAME,PRICE
C18000,1540
C18125,1420
C18250,1300
C18375,1190
C18500,1070
C18625,960
C18750,850
C18875,745
C19000,645
C19125,560
C19250,480
C19375,375
C19500,305
C19625,245
C19750,180
C19875,135
C20000,98
C20125,69
C20250,48
C20375,33
C20500,22
C20625,16
C20750,11
C20875,8
C21000,6
P18000,25
P18125,31
P18250,39
P18375,46
P18500,58
P18625,73
P18750,88
P18875,105
P19000,130
P19125,170
P19250,200
P19375,235
P19500,295
P19625,355
P19750,420
P19875,505
P20000,600
P20125,685
P20250,790
P20375,900
P20500,1020
P20625,1140
P20750,1260
P20875,1380
P21000,1500
