NAME,PRICE
C18000,1753
C18125,1629
C18250,1506
C18375,1383
C18500,1262
C18625,1143
C18750,1027
C18875,914
C19000,805
C19125,702
C19250,605
C19375,514
C19500,432
C19625,357
C19750,291
C19875,234
C20000,185
C20125,143
C20250,110
C20375,82
C20500,60
C20625,44
C20750,31
C20875,22
C21000,15
P18000,1
P18125,2
P18250,4
P18375,6
P18500,10
P18625,16
P18750,25
P18875,37
P19000,53
P19125,75
P19250,103
P19375,137
P19500,180
P19625,230
P19750,289
P19875,357
P20000,432
P20125,516
P20250,607
P20375,705
P20500,808
P20625,916
P20750,1029
P20875,1144
P21000,1262
